ID,Title,Year,Director,Cast,Genre,Duration
1,blade runner: the final cut,1982.0,ridley scott,,"drama, science fiction",117 minutes
2,ace in the hole,1951.0,billy wilder,"kirk douglas,richard benedict,jan sterling","drama, film noir",111 minutes
3,pierrot le fou,1966.0,jean-luc godard,"jean-paul belmondo,anna karina,graziella galvani","drama, foreign, indie, thriller",110 minutes
4,rocket science,2007.0,jeffrey blitz,"reece daniel thompson,anna kendrick,nicholas d'agosto,vincent piazza,denis o'hare","comedy, drama, indie",101 minutes
5,casino royale,2007.0,martin campbell,"daniel craig,eva green,judi dench,jeffrey wright,giancarlo giannini,mads mikkelsen","action, adventure, foreign, thriller",144 minutes
6,death at a funeral,2007.0,frank oz,"matthew macfadyen,keeley hawes,daisy donovan,alan tudyk,jane asher,rupert graves,peter egan,peter dinklage","comedy, drama, foreign",90 minutes
7,superbad,2007.0,greg mottola,"jonah hill,michael cera,christopher mintz-plasse,bill hader,seth rogen,emma stone",comedy,113 minutes
8,flanders,2007.0,bruno dumont,"adelaide leroux,samuel boidin,henri cretel","drama, foreign",91 minutes
9,the nanny diaries,2007.0,"shari springer berman,robert pulcini","scarlett johansson,laura linney,paul giamatti,donna murphy,alicia keys,nathan corddry","comedy, drama, romance",106 minutes
10,2 days in paris,2007.0,julie delpy,"julie delpy,adam goldberg,daniel bruhl,marie pillet,albert delpy,aleksia landeau,adan jodorowsky,alexandre nahon","comedy, foreign, indie, romance",96 minutes
11,illegal tender,2007.0,franc,"wanda dejesus,rick gonzalez,dania ramirez,gary perez,tego calderon,manny perez","action, crime, drama, thriller",108 minutes
12,resurrecting the champ,2007.0,rod lurie,"samuel l. jackson,josh hartnett,teri hatcher,alan alda,kathryn morris,dakota goyo,david paymer","drama, sports film",112 minutes
13,private property,2007.0,joachim lafosse,"isabelle huppert,yannick renier,jeremie renier,patrick descamps","drama, foreign",
14,the king of kong: a fistful of quarters,2007.0,seth gordon,,documentary,79 minutes
15,the 11th hour,2007.0,"leila conners petersen, nadia conners",,documentary,95 minutes
16,september dawn,2007.0,christopher cain,"jon voight,terence stamp,dean cain,jon gries,lolita davidovich","action, drama, history, romance, western",110 minutes
17,zodiac,2007.0,david fincher,"mark ruffalo,jake gyllenhaal,robert downey jr.,anthony edwards,brian cox,charles fleischer,zach grenier,philip baker hall,elias koteas,john carroll lynch,dermot mulroney,chloe sevigny","crime, drama, mystery, thriller",157 minutes
18,ratatouille,2007.0,brad bird,"patton oswalt,ian holm,lou romano,peter o'toole,brad garrett,janeane garofalo,peter sohn,brian dennehy,will arnett","animation, comedy, family",111 minutes
19,balls of fury,2007.0,,"dan fogler,christopher walken,george lopez,robert patrick,james hong,maggie q,thomas lennon,patton oswalt","comedy, sports film",90 minutes
20,pan's labyrinth,2006.0,"guillermo del toro, guillermo del toro","ivana baquero,maribel verdu,sergi lopez,ariadna gil,alex angulo,doug jones","drama, fantasy, foreign, science fiction, war",118 minutes
21,delirious,2007.0,tom dicillo,"michael pitt,steve buscemi,alison lohman,gina gershon,joseph d'onofrio,rodrigo lopresti,cinque lee","comedy, drama, indie, romance",107 minutes
22,self medicated,2007.0,monty lapica,"monty lapica,diane venora,kristina anapau,william stanford davis","drama, indie",107 minutes
23,death sentence,2007.0,james wan,"kevin bacon,aisha tyler,kelly preston,stuart lafferty,garrett hedlund,matthew o'leary,john goodman","action, crime, drama, thriller",105 minutes
24,trade,2007.0,marco kreuzpaintner,"kevin kline,cesar ramos,alicja bachleda-curus,paulina gaitan,linda emond","drama, indie, thriller",119 minutes
25,children of men,2007.0,alfonso cuaron,"clive owen,julianne moore,michael caine,chiwetel ejiofor,clare-hope ashitey,pam ferris","action, adventure, drama, foreign, science fiction, thriller",109 minutes
26,feast of love,2007.0,robert benton,"morgan freeman,jane alexander,greg kinnear,selma blair,radha mitchell,stana katic,fred ward,alexa davalos,billy burke,sherilyn lawson","comedy, drama, romance",101 minutes
27,into the wild,2007.0,sean penn,"emile hirsch,vince vaughn,catherine keener,brian dierker,hal holbrook,marcia gay harden,william hurt,kristen stewart,jena malone","action, adventure, drama",148 minutes
28,the great dictator,1940.0,charles chaplin,"chaplin,jack oakie,paulette goddard,reginald gardiner",comedy,125 minutes
29,the darjeeling limited,2007.0,wes anderson,"owen wilson,adrien brody,jason schwartzman,amara karan,camilla rutherford,wally wolodarsky,waris ahluwalia,barbet schroeder,irfan khan,bill murray,anjelica huston,natalie portman","adventure, comedy, drama",91 minutes
30,i want someone to eat cheese with,2007.0,jeff garlin,"jeff garlin,bonnie hunt,sarah silverman,amy sedaris,joey slotnick,gina gershon,paul mazursky,mina kolb,richard kind,dan castellaneta,tim kazurinsky,steve dahl","comedy, indie, romance",
31,michael clayton,2007.0,tony gilroy,"george clooney,sean cullen,tom wilkinson,tilda swinton,sydney pollack,michael o'keefe,ken howard,denis o'hare","drama, mystery, thriller",119 minutes
32,"lust, caution",2007.0,ang lee,"tony leung,joan chen,tang wei,chu tsz-ying,wang lee hom","action, drama, foreign, indie, romance, thriller",156 minutes
33,the heartbreak kid,2007.0,"bobby,peter farrelly","ben stiller,malin akerman,michelle monaghan,jerry stiller,rob corddry,carlos mencia,kathy lamkin","comedy, romance",116 minutes
34,the assassination of jesse james by the coward robert ford,2007.0,andrew dominik,"brad pitt,casey affleck,sam shepard,mary-louise parker,paul schneider,jeremy renner,garret dillahunt,zooey deschanel,michael parks,ted levine,sam rockwell,alison elliott,james carville,tom aldredge,kailin see,hugh ross","action, drama, western",160 minutes
35,we own the night,2007.0,james gray,"joaquin phoenix,mark wahlberg,robert duvall,eva mendes,tony musante,moni moshonov,alex veadov","action, drama",117 minutes
36,el topo,1970.0,alejandro jodorowsky,"alejandro jodorowsky,brontis jodorowsky,jose legarreta,alfonso arau","action, adventure, drama, foreign, western",125 minutes
37,elizabeth: the golden age,2007.0,shekhar kapur,"cate blanchett,geoffrey rush,clive owen,samantha morton,rhys ifans,abbie cornish,jordi molla","drama, foreign, history, romance",114 minutes
38,sleuth,2007.0,kenneth branagh,"michael caine,jude law,alec cawthorne,eve channing",thriller,86 minutes
39,shut up and sing,2007.0,"barbara kopple,cecilia peck","natalie maines,emily robison,martie mcguire,simon renshaw",documentary,93 minutes
40,away from her,2006.0,sarah polley,"julie christie,gordon pinsent,olympia dukakis,michael murphy,kristen thomson,wendy crewson,alberta watso","drama, indie, romance",110 minutes
41,canvas,2007.0,joseph greco,"joe pantoliano,marcia gay harden,devon gearhart,sophia bairley","drama, indie",101 minutes
42,rendition,2007.0,gavin hood,"jake gyllenhaal,reese witherspoon,omar metwally,meryl streep,alan arkin,peter sarsgaard","drama, mystery, thriller",120 minutes
43,lars and the real girl,2007.0,craig gillespie,"ryan gosling,emily mortimer,paul schneider,patricia clarkson,kelli garner,lauren ash,nancy beatty","comedy, indie, romance",106 minutes
44,30 days of night,2007.0,david slade,"josh hartnett,danny huston,ben foster,melissa george,manu bennett","action, horror, thriller",113 minutes
45,broken,2007.0,alan white,"heather graham,jeremy sisto,jake busey,tess harper,linda hamilton,chad cunningham","drama, foreign, horror, thriller",97 minutes
46,things we lost in the fire,2007.0,susanne bier,"halle berry,benicio del toro,david duchovny,alison lohman,omar benson miller,john carroll lynch",drama,113 minutes
47,gone baby gone,2007.0,ben affleck,"casey affleck,michelle monaghan,morgan freeman,ed harris,john ashton,amy ryan,amy madigan,titus welliver","crime, drama, mystery, thriller",114 minutes
48,across the universe,2007.0,julie taymor,"jim sturgess,joe anderson,dana fuchs,t.v. carpio,bono,eddie izzard,martin luther mccoy","adventure, drama, music, romance",133 minutes
49,in the valley of elah,2007.0,paul haggis,"tommy lee jones,charlize theron,jason patric,susan sarandon,jonathan tucker,james franco","crime, drama, mystery, thriller",124 minutes
