entity_id,Id,Title,Director,Year,Cast
0,a1242,gone in sixty seconds,dominic sena,2000,"nicolas cage, angelina jolie, giovanni ribisi"
0,c3196,gone in sixty seconds,dominic sena,2000,"nicolas cage, angelina jolie, giovanni ribisi"
1,b2513,a good day to die hard,john moore,2013,"jai courtney, bruce willis, sebastian koch, mary elizabeth winst..."
1,d1741,a good day to die hard,john moore,2013,"bruce willis,jai courtney,sebastian koch,cole hauser,yuliya snigir"
1,c597,a good day to die hard,john moore,2013,"bruce willis, jai courtney, sebastian koch"
1,a2750,a good day to die hard,john moore,2013,"bruce willis, jai courtney, sebastian koch"
2,b835,the box,richard kelly,2009,"cameron diaz, james marsden, frank langella, james rebhorn"
2,d2594,the box,richard kelly,2009,"cameron diaz,james marsden,frank langella"
2,a896,the box,richard kelly,2009,"cameron diaz, james marsden, frank langella"
3,a1917,kingdom of heaven,ridley scott,2005,"orlando bloom, eva green, liam neeson"
3,b1687,kingdom of heaven,ridley scott,2005,"orlando bloom, liam neeson, eva green, david thewlis"
3,c2421,kingdom of heaven,ridley scott,2005,"orlando bloom, eva green, liam neeson"
4,c2082,ghost rider,mark steven johnson,2007,"nicolas cage, eva mendes, sam elliott"
4,a2432,ghost rider,mark steven johnson,2007,"nicolas cage, eva mendes, sam elliott"
4,b2219,ghost rider,mark steven johnson,2007,"nicolas cage, eva mendes, wes bentley, sam elliott"
5,a1599,around the world in 80 days,frank coraci,2004,"jackie chan, steve coogan, jim broadbent"
5,c2594,around the world in 80 days,frank coraci,2004,"jackie chan, steve coogan, jim broadbent"
5,b1388,around the world in 80 days,frank coraci,2004,"jackie chan, steve coogan, ewen bremner, robert fyfe"
6,a1011,night at the museum: battle of the smithsonian,shawn levy,2009,"ben stiller, owen wilson, amy adams"
6,c1731,night at the museum: battle of the smithsonian,shawn levy,2009,"ben stiller, owen wilson, amy adams"
7,c1420,tekken,dwight h. little,2010,"jon foo, kelly overton, cary-hiroyuki tagawa"
7,a1056,tekken,dwight h. little,2010,"jon foo, kelly overton, cary-hiroyuki tagawa"
8,a2745,getaway,courtney solomon,2013,"ethan hawke, selena gomez, jon voight"
8,d1582,getaway,courtney solomon,2013,"ethan hawke,selena gomez,jon voight,paul freeman,bruce payne,rebecca budig"
8,c658,getaway,courtney solomon,2013,"ethan hawke, selena gomez, jon voight"
9,c2139,wild hogs,walt becker,2007,"tim allen, martin lawrence, john travolta"
9,a2618,wild hogs,walt becker,2007,"tim allen, martin lawrence, john travolta"
9,b2387,wild hogs,walt becker,2007,"tim allen, john travolta, martin lawrence, william h. macy"
10,a3,21 jump street,phil lord,2012,"jonah hill, channing tatum, ice cube"
10,d2063,21 jump street,"phil lord,christopher miller",2012,"jonah hill,channing tatum,brie larson,dave franco,rob riggle,ice cube"
10,b2,21 jump street,chris miller,2012,"jonah hill, channing tatum, brie larson, dave franco"
10,c907,21 jump street,phil lord,2012,"jonah hill, channing tatum, ice cube"
11,b780,superhero movie,craig mazin,2008,"drake bell, sara paxton, christopher mcdonald, kevin hart"
11,a836,superhero movie,craig mazin,2008,"drake bell, leslie nielsen, sara paxton"
11,c1903,superhero movie,craig mazin,2008,"drake bell, leslie nielsen, sara paxton"
12,a1169,firehouse dog,todd holland,2007,"josh hutcherson, bruce greenwood, bree turner"
12,c2126,firehouse dog,todd holland,2007,"josh hutcherson, bruce greenwood, bree turner"
12,b2208,firehouse dog,todd holland,2007,"josh hutcherson, bruce greenwood, bill nunn, steven culp"
13,a13,alex cross,rob cohen,2012,"tyler perry, matthew fox, rachel nichols"
13,c959,alex cross,rob cohen,2012,"tyler perry, matthew fox, rachel nichols"
13,b14,alex cross,rob cohen,2012,"tyler perry, matthew fox, edward burns, jean reno"
13,d1863,alex cross,rob cohen,2012,"tyler perry,edward burns,matthew fox,jean reno,carmen ejogo"
14,a133,the expendables 2,simon west,2012,"sylvester stallone, liam hemsworth, randy couture"
14,b129,the expendables 2,simon west,2012,"sylvester stallone, jason statham, jet li, dolph lundgren"
14,c972,the expendables 2,simon west,2012,"sylvester stallone, liam hemsworth, randy couture"
15,a2311,pirates of the caribbean: dead man's chest,gore verbinski,2006,"johnny depp, orlando bloom, keira knightley"
15,c2259,pirates of the caribbean: dead man's chest,gore verbinski,2006,"johnny depp, orlando bloom, keira knightley"
16,c1447,the book of eli,albert hughes,2010,"denzel washington, mila kunis, ray stevenson"
16,a290,the book of eli,albert hughes,2010,"denzel washington, mila kunis, ray stevenson"
16,d2646,the book of eli,"albert,allen hughes",2010,"denzel washington,gary oldman,mila kunis,ray stevenson,jennifer beals,tom waits,michael gambon"
16,b284,the book of eli,albert hughes,2010,"denzel washington, gary oldman, mila kunis, ray stevenson"
17,b200,one for the money,julie anne robinson,2012,"katherine heigl, jason o'mara, daniel sunjata, john leguizamo"
17,c938,one for the money,julie anne robinson,2012,"katherine heigl, jason o'mara, daniel sunjata"
17,a204,one for the money,julie anne robinson,2012,"katherine heigl, jason o'mara, daniel sunjata"
18,c3539,the edge,lee tamahori,1997,"anthony hopkins, alec baldwin, elle macpherson"
18,a2415,the edge,lee tamahori,1997,"anthony hopkins, alec baldwin, elle macpherson"
19,a32,bad ass,craig moss,2012,"danny trejo, charles s. dutton, ron perlman"
19,b34,bad ass,craig moss,2012,"danny trejo, ron perlman, joyful drake, charles s. dutton"
19,c1003,bad ass,craig moss,2012,"danny trejo, charles s. dutton, ron perlman"
20,c2257,x-men: the last stand,brett ratner,2006,"patrick stewart, hugh jackman, halle berry"
20,d245,x-men: the last stand,brett ratner,2006,"hugh jackman,patrick stewart,ian mckellen,halle berry,famke janssen,kelsey grammer"
20,a2420,x-men: the last stand,brett ratner,2006,"patrick stewart, hugh jackman, halle berry"
21,c2595,catwoman,pitof,2004,"halle berry, sharon stone, benjamin bratt"
21,a1621,catwoman,pitof,2004,"halle berry, sharon stone, benjamin bratt"
22,a1097,aliens vs. predator: requiem,colin strause,2007,"reiko aylesworth, steven pasquale, shareeka epps"
22,b1385,aliens vs. predator: requiem (avp 2),colin strause,2007,"steven pasquale, reiko aylesworth, john ortiz, johnny lewis"
22,c2151,aliens vs. predator: requiem,colin strause,2007,"reiko aylesworth, steven pasquale, shareeka epps"
23,d131,rush hour 3,brett ratner,2007,"jackie chan,chris tucker,max von sydow,yvan attal,dana ivey,roman polanski"
23,c2083,rush hour 3,brett ratner,2007,"jackie chan, chris tucker, max von sydow"
23,b2336,rush hour 3,brett ratner,2007,"jackie chan, chris tucker, max von sydow, nomie lenoir"
23,a2562,rush hour 3,brett ratner,2007,"jackie chan, chris tucker, max von sydow"
24,b622,x-men: first class,matthew vaughn,2011,"james mcavoy, michael fassbender, kevin bacon, caleb landry jones"
24,a665,x-men: first class,matthew vaughn,2011,"james mcavoy, michael fassbender, jennifer lawrence"
24,c1192,x-men: first class,matthew vaughn,2011,"james mcavoy, michael fassbender, jennifer lawrence"
25,c2501,the adventures of sharkboy and lavagirl 3-d,robert rodriguez,2005,"cayden boyd, george lopez, kristin davis"
25,a1810,the adventures of sharkboy and lavagirl 3-d,robert rodriguez,2005,"cayden boyd, george lopez, kristin davis"
26,b2017,night at the museum,shawn levy,2006,"ben stiller, carla gugino, robin williams, dick van dyke"
26,c2339,night at the museum,shawn levy,2006,"ben stiller, carla gugino, ricky gervais"
26,a2287,night at the museum,shawn levy,2006,"ben stiller, carla gugino, ricky gervais"
27,a138,fire with fire,david barrett,2012,"josh duhamel, bruce willis, rosario dawson"
27,c1001,fire with fire,david barrett,2012,"josh duhamel, bruce willis, rosario dawson"
28,a2480,the kingdom,peter berg,2007,"jamie foxx, chris cooper, jennifer garner"
