request_id,id1,id2,classic_score,match,confidence,explanation
d49fb50e239adf18,c684,d1698,0.66,0,0.0,Different titles and casts
65ff979fc85ae3af,a2638,b2408,0.717,0,0.7,"similar title and cast, but different year and slightly different director name"
95d3024c791e2a5a,a8,b8,0.667,1,0.9,"Matching title and director, similar cast"
66486bf3858bed4b,b3006,c4833,0.654,0,0.0,different year and title
e437e3bf230c22d6,a1972,b2062,0.674,0,0.0,Different titles and casts
ce5ad4eccf3e0af7,a2400,b2111,0.712,0,0.2,Different cast and year
b0ce7f19943bfd52,b415,b761,0.721,0,0.8,title and year mismatch
06b731b04e7e8e64,a2839,b2594,0.725,0,0.8,different release years
dfb4913efdc9841c,a1084,b2132,0.667,1,0.9,"Matching title and director, similar cast"
4ee7fe179e9b291e,d1819,d1864,0.673,0,0.0,different titles
bf9ef43954ce9c51,c4760,c4865,0.681,0,0.2,different title and cast
ea0231a697041e42,b1686,d3459,0.707,0,0.0,Different release years
132ab992cfe51d0d,a2746,b2509,0.717,1,0.9,"same title and director, similar cast"
fa1c7cd0d6f3fd90,c5563,c5573,0.672,0,0.2,different title and cast
c3d5c3d99accd4e9,c4569,c4833,0.664,0,0.7,different year and cast
e4a94ccf60677256,a898,a900,0.653,0,0.0,Different directors and casts
fd3cf79cb958180c,b2193,b2194,0.746,0,0.0,Different titles and casts
12e3555990f2d29f,a344,d2516,0.732,1,0.9,"Same title, director, and partial cast match"
1ab80b2de0037c8f,b12,c981,0.725,1,0.95,"Matching title and director, similar cast"
9fa16d5d084dffcd,a719,d2174,0.7,0,0.8,different year
cb4e7f2276cb3857,a2348,b2067,0.707,1,0.8,"same title, similar director name"
ca7afbde0466cd05,c3050,c3112,0.667,0,0.0,"different title, director, and cast"
56ec6fd6b021df46,a2608,b2379,0.662,1,0.8,"same title, similar director names (sean fine and andrea nix fine), year difference by 1"
26e2f4ff9d18a4be,a1978,b1744,0.69,0,0.8,different year
8272e3f5e788af91,a2361,b2079,0.729,1,0.8,"same title and director, similar cast"
c481d0aba36966b5,a1127,d113,0.731,1,0.9,"same title, director and main cast, minor year discrepancy"
dd8f90f7ce14f1c9,a1455,b1264,0.729,1,0.8,"same title and director, different year and partial cast overlap"
cc0180df75629feb,a1942,d153,0.672,1,0.9,"same title, director, and main cast"
1561c6b95b1b1eb1,b2193,d22,0.746,0,0.0,Different titles and casts
159bfe8a045a7cf0,a2826,b2582,0.725,1,0.95,"Identical title, director, and most cast members"
3e69ebacc5a852e7,b3006,c4198,0.657,0,0.0,different title and year
a02123295c59978b,c653,d1251,0.71,1,0.9,"Same title, director, and main cast, minor year and director name variation"
062c32fc8aa98a38,b2983,d3484,0.711,0,0.2,Different year and partially different cast
d9ade2fa648f88a2,b2495,d2800,0.667,0,0.6,different year and title
57deec5675bf47de,a1569,b1368,0.75,1,0.9,"same director, year, and partial cast match"
7dcbf2c17b2a6427,a251,b248,0.65,1,0.8,"Same title and director, different cast"
8a33858659df7d82,a222,b217,0.65,0,0.8,"same title and director, but different year and cast"
0105962c82c85d8d,a2841,d1712,0.709,0,0.0,different titles and casts
9490aba994667681,a2708,d1743,0.746,1,0.9,"same title and director, similar cast"
41202b7a501c7a73,a2622,b2389,0.664,0,0.0,different titles and directors
ebb6a694ea257431,c2333,d104,0.65,1,0.9,"Same title and director, minor cast and year differences"
2c0f59b002c73a73,a2967,b2711,0.667,1,0.8,"same title and director, similar cast"
369c249fcc61a44e,a14,b15,0.667,1,0.8,"Same title and director, common cast member"
2468932717fead01,a2358,b2076,0.69,1,0.8,"same title and director, similar cast"
c54a90c4f33bc900,a2016,d250,0.662,1,0.9,"same title, year, director, and most cast members"
bae0ef700443de34,c3959,c4351,0.651,0,0.6,"Different year and mostly different cast, but same director and similar title"
f621a12fbb745c82,a165,d349,0.657,0,0.7,different title and year
f05f07b4e965cd0c,a440,b419,0.69,1,0.9,"same title and director, similar cast"
9ddcdc1748d8fab6,c2301,d133,0.746,1,0.9,"same title, director, and main cast"
12a065896a4ab20a,a26,b27,0.69,0,0.8,"same title and director, but different year and cast"
3f672de0b125073b,a2028,b1789,0.712,1,0.8,"same title and director, similar cast"
d9cbd1180a8924f5,c3438,c4569,0.717,0,0.0,different title and year
e28dbb66bb835508,b415,d3055,0.657,0,0.7,different year and title suffix
944845e76d01e0f6,a243,d1820,0.715,1,0.9,"same title and main cast, minor director and cast differences"
fbd11035e69172bc,a2128,d151,0.746,1,0.9,"same title, director, and most cast members, minor year discrepancy"
0cdfba3a82c963e2,b237,c939,0.651,0,0.0,different title and cast
1258f00b8c84c6e2,d1770,d1774,0.667,0,0.0,different title subtitles
c4c8a301dd0e5c23,c1684,d2635,0.744,1,0.9,"same title, similar cast and directors, minor year discrepancy"
629ca6c3e6132f67,b2708,d1396,0.742,1,0.9,"same title, director, and most cast members"
8f132a0c75576378,b267,d954,0.712,1,0.9,"same title and director, minor year discrepancy"
f437b912bd1c25c9,a1421,b1238,0.702,1,0.9,"Matching title and cast, minor director name variation"
fcbb4abb37afdaa0,a233,b237,0.651,0,0.0,different title and cast
b6e2c2b39776b6cf,a1139,b2181,0.712,1,0.8,"same title and director, different cast and year"
191de912f1777aae,a898,b839,0.653,0,0.0,Different directors and casts
29d67189895753e5,a617,b580,0.725,1,0.95,"identical title, director, and most cast members"
aff3e2e0a919a826,a2047,b1806,0.712,0,0.7,"same title and director, but different year and cast"
a1624dd53500668b,a2938,b2687,0.725,1,0.9,"same title, director, and main cast, minor year discrepancy"
e32d829381110fa1,b2936,c106,0.73,1,0.95,"same title (ignoring language), year, director, and main cast"
81e0906aa9161086,c613,d1530,0.662,0,0.0,Title mismatch
615e6c8455b720e4,a2440,b2226,0.729,1,0.9,"same title, director, and main cast, minor year discrepancy"
a96837ca43a13daf,a1993,b1758,0.667,0,0.7,different year
3a6d954d3fed55b9,c3438,c4833,0.664,0,0.0,Different year and title suffix
