ID,Title,Year,Director,Cast,Genre,Duration
a1,12 12 12,,massimo morini,"davide ageno, mariangela argentino, franco bampi",sci-fi,
a2,2-headed shark attack,,christopher ray,"carmen electra, charlie o'connell, brooke hogan","action, horror, sci-fi",
a4,28 hotel rooms,,matt ross,"marin ireland, chris messina, robert deamer",drama,
a6,the abcs of death,,kaare andrews,"ingrid bolsø berdal, iván gonzález, kyra zagorsky","comedy, horror",
a7,about cherry,,stephen elliott,"ashley hinshaw, james franco, heather graham",drama,
a8,abraham lincoln vs. zombies,,richard schenkman,"bill oberst jr., kent igleheart, rhianna van helton","action, comedy, horror",
a14,alien origin,,mark atkins,"philip coc, eric darins, daniela flynn","biography, horror, sci-fi, thriller",
a16,the amazing adventures of the living corpse,,justin paul ritter,"maria olsen, marshal hilton, lee perkins","animation, action, fantasy, horror",
a18,american reunion,,jon hurwitz,"jason biggs, alyson hannigan, seann william scott",comedy,
a21,the apparition,,todd lincoln,"ashley greene, sebastian stan, tom felton","horror, thriller",
a25,atm,,david brooks,"alice eve, josh peck, brian geraghty","horror, thriller",
a26,art machine,,doug karr,"joseph cross, jessica szohr, joey lauren adams",comedy,
a28,atom the amazing zombie killer,,zack beins,"tom autry, matthew m. baxter, brad beins","comedy, horror",
a29,the avengers,,joss whedon,"robert downey jr., chris evans, scarlett johansson","action, adventure, sci-fi",
a33,bad kids go to hell,,matthew spradlin,"judd nelson, ben browder, amanda alch","comedy, mystery, thriller",
a34,barbie in a mermaid tale 2,,william lau,"kelly sheridan, ashleigh ball, kathleen barr","animation, family",
a35,barbie: the princess & the popstar,,ezekiel norton,"kelly sheridan, jennifer waris, ashleigh ball","animation, family",
a37,barricade,,andrew currie,"eric mccormack, jody thompson, conner dwelly","horror, mystery, thriller",
a38,batman revealed,,chris clark,"david b. stewart iii, chris clark, derek mindler","action, crime, drama",
a40,the battery,,jeremy gardner,"jeremy gardner, adam cronheim, niels bolle","adventure, drama, horror",
a41,battlefield america,,chris stokes,"marques houston, mekia cox, christopher jones","drama, musical",
a42,battleship,,peter berg,"alexander skarsgård, brooklyn decker, liam neeson","action, adventure, sci-fi, thriller",
a44,bearcity 2: the proposal,,douglas langway,"kevin smith, kathy najimy, richard riehle",comedy,
a45,beasts of the southern wild,,benh zeitlin,"quvenzhané wallis, dwight henry, levy easterly","drama, fantasy",
a46,the beauty inside,,jong-yeol baek,"woo-hee chun, ji-han do, hyo-ju han","drama, romance",
a48,beauty and the least: the misadventures of ben banks,,bryce clark,"ben banks, katharine towne, mischa barton","comedy, drama, romance",
a49,bending the rules,,artie mandelberg,"jamie kennedy, adam copeland, jennifer esposito","comedy, crime",
a52,beverly hills chihuahua 3: viva la fiesta!,,lev l. spiro,"marcus coloma, erin cahill, cedric yarbrough","adventure, comedy, family",
a53,beyond,,pernilla august,"noomi rapace, ola rapace, outi mäenpää",drama,
a54,big miracle,,ken kwapis,"drew barrymore, john krasinski, john pingayak","biography, drama, romance",
a55,big top scooby-doo!,,ben jones,"frank welker, mindy cohn, grey griffin","animation, family, fantasy",
a56,bill w.,,dan carracino,"bill wilson, dr. bob, blake j. evans","documentary, biography, history",
a60,border run,,gabriela tagliavini,"sharon stone, promise lamarco, billy zane","crime, thriller",
a63,branded,,jamie bradshaw,"ed stoppard, leelee sobieski, jeffrey tambor","drama, fantasy, thriller",
a64,brave,,mark andrews,"kelly macdonald, billy connolly, emma thompson","animation, adventure, comedy, family, fantasy",
a66,broken roads,,justin chambers,"sally kirkland, aidan bristow, shoshana bush",drama,
a67,bully,,larry clark,"brad renfro, nick stahl, bijou phillips","crime, drama",
a68,butter,,jim field smith,"jennifer garner, yara shahidi, ty burrell",comedy,
a72,california winter,,odin ozdil,"michael ironside, rutina wesley, erick avari","drama, history",
a73,call me kuchu,,katherine fairfax wright,"david kato, christopher senyonjo","documentary, drama",
a76,casa de mi padre,,matt piedmont,"will ferrell, gael garcía bernal, diego luna","comedy, western",
a77,celeste & jesse forever,,lee toland krieger,"rashida jones, andy samberg, elijah wood","comedy, drama, romance",
a78,the central park five,,ken burns,"antron mccray, kevin richardson, kharey wise",documentary,
a79,changing the game,,rel dowdell,"jakobi alvin, suzzanne douglas, thomas staten",action,
a80,chasing ice,,jeff orlowski,"james balog, svavar jónatansson, louie psihoyos","documentary, biography",
a81,chasing mavericks,,michael apted,"jonny weston, gerard butler, elisabeth shue","biography, drama, sport",
a82,chernobyl diaries,,bradley parker,"jesse mccartney, jonathan sadowski, olivia taylor dudley","horror, mystery, thriller",
a83,chimpanzee,,alastair fothergill,tim allen,documentary,
a87,the citizen,,sam kadi,"khaled nabawy, agnes bruckner, rizwan manji",drama,
a88,lord of the elves,,joseph j. lawson,"bai ling, sun korng, srogn","action, adventure, fantasy",
a89,cloud atlas,,tom tykwer,"tom hanks, halle berry, hugh grant","drama, sci-fi",
a93,the comedy,,rick alverson,"tim heidecker, eric wareheim, james murphy",drama,
a96,cowgirls 'n angels,,timothy armstrong,"bailee madison, dusta kimzey, richard levi",family,
a97,crave,,charles de lauzirika,"josh lawson, emma lung, ron perlman","drama, thriller",
a100,damsels in distress,,whit stillman,"greta gerwig, adam brody, analeigh tipton","comedy, drama, romance",
a102,dark shadows,,tim burton,"johnny depp, michelle pfeiffer, eva green","comedy, horror",
a105,darling companion,,lawrence kasdan,"diane keaton, kevin kline, dianne wiest",drama,
a106,to write love on her arms,,nathan frankowski,"kat dennings, chad michael murray, rupert friend","biography, drama, music",
a107,dead before dawn 3d,,april mullen,"devon bostick, martha macisaac, christopher lloyd","adventure, comedy, horror",
a108,dead man's burden,,jared moshe,"barlow jacobs, clare bowen, david call","drama, western",
a111,death race: inferno,,roel reiné,"luke goss, tanit phoenix, danny trejo","action, sci-fi, thriller",
a113,detachment,,tony kaye,"adrien brody, christina hendricks, marcia gay harden",drama,
a115,the devil inside,,william brent bell,"fernanda andrade, simon quarterman, evan helmuth",horror,
a119,the do-deca-pentathlon,,jay duplass,"mark kelly, steve zissis, jennifer lafleur",comedy,
a120,don't change the subject,,mike stutz,"jesselynn desmond, roger fojas, patrick horvath","documentary, comedy",
a121,dracula reborn,,attila luca,"tina balthazar, yves carlevaris, chloé dumas",horror,
a123,dysfunctional friends,,corey grant,"stacey dash, wesley jonathan, jason weaver","comedy, drama",
a124,eating out: the open weekend,,q. allan brocka,"chris salvatore, chris puckett, daniel skelton",comedy,
a125,eden,,shyam madiraju,"diego boneta, jessica lowndes, james remar","drama, thriller",
a127,elf-man,,ethan wiley,"jason 'wee man' acuña, jeffrey combs, mackenzie astin","comedy, family, fantasy",
a128,the end of love,,mark webber,"mark webber, alia shawkat, shannyn sossamon",drama,
a129,end of watch,,david ayer,"jake gyllenhaal, michael peña, anna kendrick","crime, drama, thriller",
a131,see no evil hear no evil,,arthur hiller,"richard pryor, gene wilder, joan severance","comedy, crime, thriller",
a135,flight,,robert zemeckis,"denzel washington, nadine velazquez, don cheadle","drama, thriller",
a136,filly brown,,youssef delara,"gina rodriguez, jenni rivera, lou diamond phillips","drama, music",
a139,the first time,,jon kasdan,"dylan o'brien, britt robertson, victoria justice","comedy, drama, romance",
a140,the fitzgerald family christmas,,edward burns,"kerry bishé, connie britton, edward burns",drama,
