ID;title,year,director(s),writer(s),actor(s)
0;Jurassic World,Colin Trevorrow,Rick Jaffa,Amanda Silver,Derek Connolly,Colin Trevorrow,Chris Pratt,Bryce Dallas Howard,Jake Johnson,Judy Greer;2015
1;The Martian,Ridley Scott,Drew Goddard,Andy Weir,Matt Damon,Jessica Chastain,Kate Mara,Jeff Daniels;2015
2;Terminator Genisys,Alan Taylor,Laeta Kalogridis,Patrick Lussier,Arnold Schwarzenegger,Jason Clarke,Emilia Clarke,Jai Courtney;2015
3;Mad Max: Fury Road,George Miller,George Miller,Nick Lathouris,Brendan McCarthy,Tom Hardy,Charlize Theron,Hugh Keays-Byrne,Nicholas Hoult;2015
4;San Andreas,Brad Peyton,Carlton Cuse,Andre Fabrizio,Jeremy Passmore,Alexandra Daddario,Dwayne Johnson,Carla Gugino,Archie Panjabi;2015
5;Southpaw,Antoine Fuqua,Kurt Sutter,Richard Wenk,Jake Gyllenhaal,Rachel McAdams,Forest Whitaker,Oona Laurence;2015
6;Tomorrowland,Brad Bird,Brad Bird,Damon Lindelof,Jeff Jensen,Britt Robertson,George Clooney,Raffey Cassidy,Thomas Robinson;2015
7;Avengers: Age of Ultron,Joss Whedon,Joss Whedon,Robert Downey Jr.,Chris Evans,Chris Hemsworth,Mark Ruffalo;2015
8;Pixels,Chris Columbus,Tim Herlihy,Adam Sandler,Timothy Dowling,Patrick Jean,Adam Sandler,Michelle Monaghan,Peter Dinklage,Josh Gad;2015
9;Minions,Kyle Balda,Pierre Coffin,Brian Lynch,Pierre Coffin,Sandra Bullock,Jon Hamm,Katy Mixon;2015
10;Inside Out,Pete Docter,Ronaldo Del Carmen,Pete Docter,Meg LeFauve,Ronaldo Del Carmen,Josh Cooley,Amy Poehler,Mindy Kaling,Bill Hader,Phyllis Smith;2015
11;Interstellar,Christopher Nolan,Christopher Nolan,Jonathan Nolan,Matthew McConaughey,Anne Hathaway,Jessica Chastain,Michael Caine;2014
12;Maze Runner: The Scorch Trials,Wes Ball,James Dashner,T.S. Nowlin,Dylan O'Brien,Kaya Scodelario,Thomas Brodie-Sangster,Giancarlo Esposito;2015
13;Ant-Man,Peyton Reed,Adam McKay,Edgar Wright,Joe Cornish,Paul Rudd,Paul Rudd,Michael Douglas,Evangeline Lilly,Corey Stoll;2015
14;Eddie Izzard: Glorious,Peter Richardson,Eddie Izzard,Eddie Izzard;1997
15;Insurgent,Robert Schwentke,Brian Duffield,Akiva Goldsman,Veronica Roth,Mark Bomback,Shailene Woodley,Theo James,Kate Winslet,Ansel Elgort;2015
16;Hotel Transylvania 2,Genndy Tartakovsky,Dan Hageman,Kevin Hageman,Adam Sandler,Kevin James,Steve Buscemi,Selena Gomez;2015
17;The Hunger Games: Mockingjay - Part 1,Francis Lawrence,Suzanne Collins,Danny Strong,Peter Craig,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Woody Harrelson;2014
18;Big Hero 6,Don Hall,Chris Williams,Joseph Mateo,Dan Gerson,Robert L. Baird,Jordan Roberts,Scott Adsit,Ryan Potter,Daniel Henney,T.J. Miller;2014
19;The Hobbit: The Battle of the Five Armies,Peter Jackson,J.R.R. Tolkien,Peter Jackson,Fran Walsh,Philippa Boyens,Guillermo del Toro,Martin Freeman,Ian McKellen,Richard Armitage,Ken Stott;2014
20;Spy,Paul Feig,Paul Feig,Melissa McCarthy,Jude Law,Jason Statham,Rose Byrne;2015
21;Kingsman: The Secret Service,Matthew Vaughn,Jane Goldman,Matthew Vaughn,Taron Egerton,Colin Firth,Samuel L. Jackson,Michael Caine;2015
22;Paper Towns,Jake Schreier,Scott Neustadter,Michael H. Weber,John Green,Nat Wolff,Cara Delevingne,Halston Sage,Caitlin Carver;2015
23;Mission: Impossible – Rogue Nation,Christopher McQuarrie,Drew Pearce,Will Staples,Tom Cruise,Jeremy Renner,Simon Pegg,Rebecca Ferguson;2015
24;Guardians of the Galaxy,James Gunn,Nicole Perlman,James Gunn,Chris Pratt,Zoe Saldana,Dave Bautista,Vin Diesel;2014
25;Jupiter Ascending,Lana Wachowski,Andy Wachowski,Andy Wachowski,Lana Wachowski,Mila Kunis,Channing Tatum,Sean Bean,Eddie Redmayne;2015
26;The Maze Runner,Wes Ball,James Dashner,Grant Pierce Myers,Noah Oppenheim,T.S. Nowlin,Dylan O'Brien,Aml Ameen,Ki Hong Lee,Blake Cooper;2014
27;John Wick,Chad Stahelski,David Leitch,Derek Kolstad,Keanu Reeves,Michael Nyqvist,Alfie Allen,Willem Dafoe;2014
